"","n","j","t0","s","dicA","waicA","looA","dicB","waicB","looB","dicC","waicC","looC","dicD","waicD","looD","dicE","waicE","looE"
"1",100,50,0.05,1,20401.501548585,20403.1266059907,20403.3364036812,21720.8856732409,21725.7340820245,21726.9304430247,19711.6590577716,19711.3984645058,19712.8600977013,20400.8600117408,20404.8697665508,20405.1048964078,19710.3687207062,19716.6419767471,19718.0604252967
"2",100,50,0.05,2,20562.4657149438,20561.0301428444,20561.278922019,21689.5768464127,21693.5464763288,21695.0688891921,19601.029351155,19603.2663278588,19604.816648943,20551.6981741751,20562.1766222129,20562.417181445,19601.0399047523,19599.446383234,19600.9129593042
"3",100,50,0.05,3,20734.7630395463,20742.0322718989,20742.2704088129,21791.25102307,21795.6577896916,21797.1745345516,19734.8749667847,19746.2821970864,19748.0236548261,20733.6293711128,20740.5004978521,20740.7590961552,19734.733288991,19744.4543594318,19746.1462490669
"4",100,50,0.05,4,20831.6373574976,20833.5427539618,20833.7728888647,21685.7115971955,21698.8010240407,21700.3658981148,19728.7378331139,19737.6266637725,19739.3368388948,20830.5809752528,20832.8841482784,20833.1365661959,19730.7926954414,19736.6868014941,19738.4882796614
"5",100,50,0.05,5,20913.1264550642,20918.3062620983,20918.4860302426,21530.6903914231,21536.6732355701,21537.9639778104,19745.0367933979,19748.9109234908,19750.4654967345,20914.7926917501,20918.9899992723,20919.1780200044,19741.3516726495,19748.949780683,19750.3658917287
"6",100,50,0.05,6,21133.8789964719,21137.8961701064,21138.1317754196,21655.7532503902,21664.4411391638,21665.8856621148,19831.3374884422,19841.340458676,19842.8961872786,21141.452561052,21139.3899900692,21139.6030230362,19834.3032125182,19840.1511709662,19841.7528880793
"7",100,50,0.05,7,20788.4058013852,20787.5257247628,20787.722397697,21938.8145820389,21939.8740082502,21941.1360927489,19936.3649534672,19945.5573407902,19947.1896071524,20786.0138675058,20789.2337006322,20789.4406950466,19935.6168429672,19943.1669531261,19944.6178026887
"8",100,50,0.05,8,20402.7710855909,20403.1130131575,20403.3487826466,21770.3087968335,21777.4478751602,21778.8598062558,19752.179641019,19754.094753042,19755.8090590254,20405.621848513,20407.2848099679,20407.5699247651,19743.2314084403,19753.1129473295,19754.8293457537
"9",100,50,0.05,9,20697.5177575373,20702.1748329181,20702.3731881616,21753.8062077834,21752.1170169661,21753.3601000883,19797.2621927516,19800.9299941821,19802.5545265138,20701.3632104368,20704.2272378828,20704.4321893951,19790.6358956015,19800.0533271851,19801.692143691
"10",100,50,0.05,10,20626.4120493399,20630.298277753,20630.465475117,21724.4597191722,21732.4229709003,21733.559496567,19790.8615885382,19794.2455650527,19795.7087236339,20622.2670287342,20631.2159636645,20631.3832525036,19784.9014347076,19793.4957873779,19794.8855146066
"11",100,50,0.05,11,20623.4256272046,20627.9606501147,20628.1206803808,21639.4550889795,21646.9793868203,21648.1657169091,19664.3235299484,19660.943906925,19662.2779044456,20625.5126125294,20629.5709307113,20629.7554477407,19658.3081317393,19660.2583488412,19661.616426429
"12",100,50,0.05,12,20851.8335780091,20857.4187721364,20857.6083693373,21839.0889840307,21839.5034640582,21840.6615469916,19892.7137219819,19898.7579899039,19900.1376491613,20852.8110221756,20859.0111602358,20859.2161437946,19890.6179322305,19895.0753711241,19896.496921499
